id,product_id/id,location_id/id,lot_id/id,inventory_quantity_auto_apply
andina.q_001,andina.var_001,andina.loc_a,andina.lot_001,180
andina.q_002,andina.var_001,andina.loc_a,andina.lot_002,240
andina.q_003,andina.var_001,andina.loc_a,andina.lot_003,320
andina.q_004,andina.var_002,andina.loc_a,andina.lot_004,150
andina.q_005,andina.var_002,andina.loc_a,andina.lot_005,410
andina.q_006,andina.var_002,andina.loc_a,andina.lot_006,520
andina.q_007,andina.var_002,andina.loc_a,andina.lot_007,680
andina.q_008,andina.var_005,andina.loc_a,andina.lot_008,95
andina.q_009,andina.var_005,andina.loc_a,andina.lot_009,210
andina.q_010,andina.var_013,andina.loc_a,andina.lot_010,140
andina.q_011,andina.var_013,andina.loc_a,andina.lot_011,260
andina.q_012,andina.var_043,andina.loc_a,andina.lot_012,300
andina.q_013,andina.var_043,andina.loc_a,andina.lot_013,420
andina.q_014,andina.var_054,andina.loc_c,andina.lot_014,85
andina.q_015,andina.var_016,andina.loc_b,,640
andina.q_016,andina.var_017,andina.loc_b,,380
andina.q_017,andina.var_019,andina.loc_b,,520
andina.q_018,andina.var_022,andina.loc_b,,290
andina.q_019,andina.var_028,andina.loc_b,,1200
andina.q_020,andina.var_032,andina.loc_b,,210
andina.q_021,andina.var_037,andina.loc_b,,175
andina.q_022,andina.var_050,andina.loc_c,,340
andina.q_023,andina.var_051,andina.loc_c,,280
andina.q_024,andina.var_053,andina.loc_c,,900
andina.q_025,andina.var_062,andina.loc_c,,4800
andina.q_026,andina.var_063,andina.loc_c,,3600
andina.q_027,andina.var_065,andina.loc_c,,12000
andina.q_028,andina.var_067,andina.loc_c,,22000
andina.q_029,andina.var_069,andina.loc_c,,1500
